0,4.4,6.3
1,5.3,6.7
2,7.1,3.0
3,2.8,8.4
4,4.5,4.1
5,9.7,5.8
6,8.6,5.8
7,7.2,3.6
8,7.4,2.9
9,8.0,6.6
10,4.8,2.7
11,8.8,5.8
12,5.5,8.1
13,8.9,3.2
14,3.7,4.0
15,9.5,5.6
16,7.1,4.6
17,6.3,5.2
18,5.2,6.6
19,7.4,3.6
20,9.0,6.5
21,7.7,4.0
22,8.5,6.5
23,4.7,2.9
24,3.3,8.1
25,5.6,3.6
26,4.8,7.9
27,8.8,2.8
28,7.0,2.8
29,7.7,4.8
30,4.9,3.0
31,6.9,2.7
32,4.1,5.4
33,7.0,3.6
34,3.0,8.6
35,4.9,9.2
36,9.0,5.1
37,5.9,6.1
38,7.2,6.7
39,6.6,6.8
40,9.3,6.0
41,4.4,4.6
42,9.5,6.1
43,6.5,2.6
44,5.6,6.6
45,2.8,6.8
46,7.1,2.9
47,7.1,5.8
48,7.5,5.0
49,2.9,2.9
50,4.5,5.7
51,6.8,4.7
52,5.2,4.7
53,5.3,6.7
54,4.8,5.1
55,8.1,2.7
56,4.9,4.1
57,8.3,4.2
58,4.0,5.5
59,7.6,3.2
60,5.0,4.8
61,8.5,5.6
62,8.7,3.7
63,5.1,7.1
64,8.9,5.7
65,4.3,3.3
66,6.4,3.8
67,4.0,4.5
68,8.4,7.0
69,8.3,4.9
70,3.6,4.5
71,8.3,4.4
72,5.1,5.4
73,5.6,5.4
74,9.1,3.6
75,2.7,9.1
76,9.2,4.1
77,7.3,6.1
78,4.7,4.9
79,4.3,3.0
80,6.8,4.5
81,8.4,2.8
82,9.0,6.5
83,2.8,7.7
84,3.9,4.6
85,7.3,6.2
86,7.0,4.9
87,4.5,8.5
88,5.2,3.9
89,3.9,8.0
90,8.5,2.6
91,3.0,4.4
92,4.6,6.2
93,5.7,5.8
94,8.1,2.5
95,3.1,3.4
96,3.6,3.0
97,3.3,6.0
98,4.9,4.7
99,5.2,7.0
100,6.8,5.0
101,4.0,4.8
102,3.6,6.4
103,7.7,5.2
104,3.3,3.7
105,5.3,6.7
106,8.2,5.2
107,8.3,6.9
108,5.7,5.1
109,5.9,4.2
110,3.2,5.5
111,9.3,5.1
112,4.5,5.7
113,3.6,8.2
114,7.8,6.4
115,3.4,6.6
116,2.7,3.5
117,8.1,2.8
118,3.3,3.2
119,8.9,3.8
120,2.9,8.4
121,3.5,8.4
122,9.4,6.6
123,8.3,2.8
124,8.1,6.1
125,7.7,3.2
126,3.1,4.8
127,4.4,3.8
128,4.4,6.8
129,8.0,5.3
130,5.3,5.3
131,5.2,5.4
132,3.3,6.0
133,9.5,5.4
134,7.9,3.6
135,7.4,6.1
136,6.1,7.0
137,9.0,3.5
138,3.4,7.7
139,9.1,6.1
140,4.0,4.4
141,4.1,6.6
142,4.9,4.1
143,4.8,7.4
144,6.8,4.4
145,4.2,2.7
146,6.1,5.2
147,3.9,5.0
148,5.0,7.9
149,3.7,9.4
150,6.1,6.7
151,8.5,6.4
152,8.7,5.3
153,6.0,4.1
154,4.3,7.5
155,8.7,4.2
156,4.0,4.3
157,4.0,7.4
158,4.5,8.6
159,4.9,5.5
160,7.8,3.1
161,3.3,8.3
162,4.7,5.0
163,2.7,4.8
164,5.8,5.9
165,4.2,6.6
166,9.4,5.2
167,6.5,3.3
168,4.6,7.2
169,3.5,8.7
170,9.1,3.2
171,9.3,5.1
172,4.8,7.2
173,4.6,7.8
174,6.5,3.3
175,5.4,3.9
176,6.2,2.1
177,7.0,6.9
178,2.1,9.6
179,7.1,1.5
180,10.1,1.7
181,3.7,7.8
182,6.5,6.1
183,7.1,5.1
184,3.5,2.1
185,0.9,7.8
186,8.2,6.0
187,8.0,4.0
188,3.0,4.3
189,9.4,0.6
190,5.5,2.8
191,8.4,4.0
192,3.7,4.5
193,3.9,9.2
194,1.4,3.1
195,1.3,1.4
196,2.2,2.2
197,4.6,8.1
198,6.5,1.8
199,4.4,2.3
200,5.8,6.2
201,2.3,2.9
202,8.5,0.5
